ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,AY,Latitude,Longitude,고등학교구분명,location_Cluster,sub_Cluster,final_Cluster
B10,서울특별시교육청,7010356,2022,37.56931585,126.8502751686,특성화고,0,10,16
B10,서울특별시교육청,7010214,2022,37.4765939,126.9448151,일반고,4,1,41
B10,서울특별시교육청,7011482,2022,37.4765939,126.9448151,특성화고,4,11,39
B10,서울특별시교육청,7011088,2022,37.6515612,127.0814003,특성화고,2,11,28
B10,서울특별시교육청,7010100,2022,37.4981758,126.9102537,일반고,4,1,41
B10,서울특별시교육청,7010215,2022,37.6515612,127.0814003,일반고,2,1,25
B10,서울특별시교육청,7010216,2022,37.5478089,126.8623635,일반고,0,1,15
B10,서울특별시교육청,7010217,2022,37.5149892,127.1028372,일반고,9,9,3
B10,서울특별시교육청,7010218,2022,37.6147398,127.0293074,일반고,8,1,32
B10,서울특별시교육청,7011184,2022,37.4968621,126.8257267,특성화고,0,10,12
B10,서울특별시교육청,7010810,2022,37.6181121,126.9199353,특성화고,6,10,42
B10,서울특별시교육청,7010219,2022,37.6181121,126.9199353,일반고,6,1,44
B10,서울특별시교육청,7010101,2022,37.5089089,127.1325092,일반고,9,1,2
B10,서울특별시교육청,7010544,2022,37.4968621,126.8257267,일반고,0,1,12
B10,서울특별시교육청,7010220,2022,37.5257452,126.9997279,일반고,1,1,19
B10,서울특별시교육청,7010221,2022,37.5873785,127.0250030453,일반고,8,1,33
B10,서울특별시교육청,7010103,2022,37.5506521,126.9814128,일반고,5,1,5
B10,서울특별시교육청,7011495,2022,37.52446415,126.9673139713,특성화고,5,5,6
B10,서울특별시교육청,7010222,2022,37.6747372,127.0551509,일반고,2,1,27
B10,서울특별시교육청,7010223,2022,37.4935765,126.8371061,일반고,0,1,14
B10,서울특별시교육청,7010805,2022,37.6150253,127.0784926,자율고,7,9,34
B10,서울특별시교육청,7010735,2022,37.6322965,127.049459,일반고,2,1,26
B10,서울특별시교육청,7010365,2022,37.487907,126.823017127,특성화고,0,5,14
B10,서울특별시교육청,7010226,2022,37.4864592,127.0360848,일반고,1,1,17
B10,서울특별시교육청,7010882,2022,37.6082276,126.9078103,일반고,6,9,42
B10,서울특별시교육청,7010962,2022,37.6355375,126.9291951924,특성화고,6,11,44
B10,서울특별시교육청,7010227,2022,37.5672063,126.9713103,자율고,5,1,8
B10,서울특별시교육청,7010747,2022,37.6043042,127.104079,특성화고,7,11,36
B10,서울특별시교육청,7010547,2022,37.5669102,126.9242832,자율고,5,1,8
B10,서울특별시교육청,7010230,2022,37.5651973,126.9683956,특목고,5,2,5
B10,서울특별시교육청,7011493,2022,37.6308138,127.0550367,특성화고,2,10,27
B10,서울특별시교육청,7010231,2022,37.5633208,126.9625692,일반고,5,1,8
B10,서울특별시교육청,7010104,2022,37.4727201,126.9687123,일반고,4,1,39
B10,서울특별시교육청,7010370,2022,37.500727,127.1122135,특성화고,9,11,2
B10,서울특별시교육청,7010105,2022,37.5351178,127.0720196,일반고,9,1,3
B10,서울특별시교육청,7010703,2022,37.65594,127.0498,일반고,2,1,28
B10,서울특별시교육청,7010106,2022,37.5159376,127.0911339,일반고,9,1,3
B10,서울특별시교육청,7010107,2022,37.5210763,127.1076337,일반고,9,1,3
B10,서울특별시교육청,7010232,2022,37.500727,127.1122135,일반고,9,1,3
B10,서울특별시교육청,7011112,2022,37.5144002,127.0825056681,일반고,9,1,3
B10,서울특별시교육청,7010233,2022,37.5553403,127.0094423,일반고,8,1,32
B10,서울특별시교육청,7010235,2022,37.6604011,127.0774617,일반고,2,1,28
B10,서울특별시교육청,7010236,2022,37.50883585,127.0723847957,일반고,9,1,3
B10,서울특별시교육청,7010237,2022,37.6518966,127.0298023,일반고,2,1,26
B10,서울특별시교육청,7010108,2022,37.5178676,126.9765702,자율고,5,1,4
B10,서울특별시교육청,7010238,2022,37.49311185,127.0807534892,자율고,9,1,3
B10,서울특별시교육청,7010239,2022,37.4853369,127.0822359,일반고,9,1,3
B10,서울특별시교육청,7010240,2022,37.5848696,126.986815496,자율고,8,1,29
B10,서울특별시교육청,7010241,2022,37.5290401,127.041123,일반고,1,1,19
B10,서울특별시교육청,7010243,2022,37.5631121,126.9542292,일반고,5,1,4
B10,서울특별시교육청,7010109,2022,37.604736,127.0831384421,일반고,7,1,36
B10,서울특별시교육청,7010883,2022,37.6432684,126.9244219569,일반고,6,1,43
B10,서울특별시교육청,7010244,2022,37.5111173,126.8711813,일반고,0,1,12
B10,서울특별시교육청,7010245,2022,37.502272,127.0475352,일반고,1,1,20
B10,서울특별시교육청,7010110,2022,37.5018664,127.1210299,일반고,9,1,3
B10,서울특별시교육청,7010562,2022,37.6497318,127.0375536,일반고,2,1,28
B10,서울특별시교육청,7010246,2022,37.6114065,127.0341461,일반고,8,1,31
B10,서울특별시교육청,7010112,2022,37.5227297,127.0194877,일반고,1,1,21
B10,서울특별시교육청,7010113,2022,37.58845475,127.0505553493,자율고,7,1,37
B10,서울특별시교육청,7010247,2022,37.6661065,127.0694862699,일반고,2,1,23
B10,서울특별시교육청,7010552,2022,37.6661065,127.0694862699,일반고,2,1,26
B10,서울특별시교육청,7010248,2022,37.5862196,126.9213403,일반고,6,1,44
B10,서울특별시교육청,7010114,2022,37.6187544,127.0865942,일반고,7,9,37
B10,서울특별시교육청,7011457,2022,37.4652137,127.0952705,일반고,9,9,3
B10,서울특별시교육청,7010918,2022,37.6413738,126.9369372927,자율고,6,9,43
B10,서울특별시교육청,7010250,2022,37.5374007,126.8840504784,자율고,0,9,16
B10,서울특별시교육청,7010828,2022,37.5384567,126.8968893,특성화고,0,10,11
B10,서울특별시교육청,7010251,2022,37.5379589,126.8584522,일반고,0,9,16
B10,서울특별시교육청,7010252,2022,37.642012,127.1056210974,일반고,2,9,26
B10,서울특별시교육청,7010253,2022,37.5740824,126.8099455,일반고,0,1,15
B10,서울특별시교육청,7010254,2022,37.5586955,126.9541525,일반고,5,1,8
B10,서울특별시교육청,7010115,2022,37.5711676,126.960453,특목고,5,6,4
B10,서울특별시교육청,7010255,2022,37.5878692,127.0113632,일반고,8,1,33
B10,서울특별시교육청,7010911,2022,37.5494256,126.9539204,특성화고,5,10,8
B10,서울특별시교육청,7010377,2022,37.5662786,126.9897438,특성화고,8,5,33
B10,서울특별시교육청,7010793,2022,37.5612759,127.0438864,자율고,8,1,30
B10,서울특별시교육청,7010258,2022,37.5551833,127.1565844,일반고,3,1,10
B10,서울특별시교육청,7010259,2022,37.5551833,127.1565844,특목고,3,2,9
B10,서울특별시교육청,7010811,2022,37.5817685,127.0573516,특성화고,7,11,34
B10,서울특별시교육청,7010818,2022,37.5817685,127.0573516,일반고,7,1,37
B10,서울특별시교육청,7010260,2022,37.5245997,127.0227776232,자율고,1,1,17
B10,서울특별시교육청,7010261,2022,37.6422144,127.0744692,일반고,2,9,28
B10,서울특별시교육청,7010262,2022,37.5934872,127.0956243,일반고,7,1,34
B10,서울특별시교육청,7010116,2022,37.6363,127.013,일반고,2,1,24
B10,서울특별시교육청,7010263,2022,37.5946127,127.0020079,일반고,8,9,30
